,Tweet,Candidate,Score,Magnitude
0,Atiku Abubakar has rejected the results of Nigeria s presidential election He will challenge his loss to Muhammadu Buhari in court Statement here,A,-0.6000000238418579,0.6000000238418579
1,Buhari s final vote tally was 15 19m down a bit from 15 42m in 2019 PDP got 11 26m this time down from 12 85m four years ago Atiku Nigeria n n Nigeria,t,0.0,0.0
2,Updated numbers for Nigeria s presidential election Buhari is looking very very strong 12 1m votes to Atiku s 8 6m Nine states to go,i,0.0,0.0
3,RT PDP presidential candidate Atiku Abubakar vows to challenge the outcome of the last Saturday presidential election,k,0.10000000149011612,0.10000000149011612
4,RT Our collective mandate stolen n nBut we aren t deterred we move on and demand restoration n nThanks to everyone who suppo,u,-0.30000001192092896,0.30000001192092896
